Schottlaender v4.0,Title,Publisher,Year,Description,Maynard and Miles,Image
A31b,The Book of Breething,Berkeley: Blue Wind Press,1975,First American. Signed by Burroughs.,,The%20Book%20of%20Breething_3.resources/the-book-of-breething_528564498_o.jpg
A31b,The Book of Breething,Berkeley: Blue Wind Press,1975,Simultaneous wraps issue of first American edition.,,The%20Book%20of%20Breething_4.resources/the-book-of-breething_528564480_o.jpg
A31b,The Book of Breething,Berkeley: Blue Wind Press,1975,First American edition.,,The%20Book%20of%20Breething.resources/the-book-of-breething_528564488_o.jpg
A32,Snack...,London: Aloes Books,1975,First.,,Snack....resources/snack_522290800_o.jpg
A33,Verdelgen,"Bussum, Netherlands: Uitgeverij Agathon",1975,First.,,Verdelgen.resources/verdelgen_10499268055_o.jpg
B2,Ruby Editions Portfolio 1,London and Toronto: Wallrich Books,1975,"First. Signed by Burroughs on his contribution ""Une Poeme Moderne"", number 18 of 100. Also contains broadsides by Cozette de Charmoy and Henri Chopin. Tape has lost adhesive on portfolio folder.",,Ruby%20Editions%20Portfolio%201.resources/ruby-editions-portfolio-1_522299055_o.jpg
G26a,Sidetripping,"New York: Derbibooks, Inc.",1975,First.,,Sidetripping.resources/sidetripping_522298071_o.jpg
I3,William S. Burroughs: An Annotated Bibliography of his Works and Criticism,New York: Garland Reference Library of the Humanities,1975,"First. A bibliography compiled by Michael B. Goodman of SUNY, Stony Brook, predating the publication of Maynard and Miles. Without dust jacket as issued.",,William%20S.%20Burroughs%3A%20An%20Annotated%20Bibliography%20of%20his%20Works%20and%20Criticism.resources/william-s-burroughs-an-annotated-bibliography-of-his-works-and-criticism_1681872212_o.jpg
,Le Colloque de Tanger - Autograph Letters,,1976,"Per James Musser: ""Also included [with Le Colloque de Tanger as obtained] are 6 Autograph Letters Signed from Francois Lagarde to Brion Gysin.""",,Le%20Colloque%20de%20Tanger%20-%20Autograph%20Letters.resources/le-colloque-de-tanger---autograph-letters_522291314_o.jpg
A34,Cobble Stone Gardens,"Cherry Valley, NY: Cherry Valley Editions",1976,"First. One of 50 hand bound copies signed by Burroughs, but mysteriously unnumbered in spite of publisher's statement to the contrary. Bound in boards with black cloth and front wrapper pasted on front, with binding somewhat loose.",,Cobble%20Stone%20Gardens.resources/cobble-stone-gardens_522300067_o.jpg
A34,Cobble Stone Gardens,"Cherry Valley, New York: Cherry Valley Editions",1976,First in wrappers. Slightly yellowed.,,Cobble%20Stone%20Gardens_1.resources/cobble-stone-gardens_522300391_o.jpg
A35,The Retreat Diaries,New York: The City Moon,1976,"First. Signed and lettered by Burroughs, I (or possibly L?) of 26. As issued in brown paper envelope with cutaway section exposing red-on-white image of Burroughs, on front wrapper, with Burroughs' lettering for title on front wrapper.",,The%20Retreat%20Diaries.resources/the-retreat-diaries_522298635_o.jpg
A35,The Retreat Diaries,New York: The City Moon,1976,First. Signed by Burroughs and Allen Ginsberg. Slightly soiled.,,The%20Retreat%20Diaries_1.resources/the-retreat-diaries_522298679_o.jpg
A36a,Oeuvre Croisee,Paris: Flammarion,1976,"First French. The true first edition of ""The Third Mind."" Signed by Brion Gysin, inscribed ""with best wishes Brion Gysin Paris 15 aug 81"".",,Oeuvre%20Croisee.resources/oeuvre-croisee_522295470_o.jpg
G45a?,Le Colloque de Tanger,Geneva: Editions Ottezec,1976,"Ten black and white photos of Burroughs and Brion Gysin taken during the Colloque de Tanger symposium. Signed by Burroughs, Gysin, Francois LeGarde (the photographer) and Gerard-Georges Lemaire (the symposium's organizer.) Number 19 of 75. Tear and wear to lower left corner of printed folder.",,Le%20Colloque%20de%20Tanger.resources/le-colloque-de-tanger_522299071_o.jpg
C421,The CoEvolution Quarterly 16,,1977,,,The%20CoEvolution%20Quarterly%2016.resources/the-coevolution-quarterly-16.jpg
A8b?,The Yage Letters,San Francisco: City Lights Books,1978,Eighth printing.,,The%20Yage%20Letters_1.resources/the-yage-letters_522296803_o.jpg
A36b,The Third Mind,"New York: The Viking Press, Inc.",1978,First American.,,The%20Third%20Mind_1.resources/the-third-mind_522293532_o.jpg
A36b,The Third Mind,"New York: The Viking Press, Inc.",1978,First American.,,The%20Third%20Mind.resources/the-third-mind_522300655_o.jpg
A37a,Ali's Smile/Naked Scientology,Bonn: Expanded Media Editions,1978,First. Wear on corners and creases in spine.,,Ali's%20Smile_Naked%20Scientology.resources/alis-smilenaked-scientology_522288460_o.jpg
A39,When Naked Troubadours Shoot Snotty Baboons,"Northridge, CA: Lord John Press",1978,"First. Signed and numbered by Burroughs, number 99 of 100. Broadside, 14x20"", designed and illustrated by James R. Silke, also signed by him.",,When%20Naked%20Troubadours%20Shoot%20Snotty%20Baboons.resources/when-naked-troubadours-shoot-snotty-baboons_522300345_o.jpg
C455,Search & Destroy 10,San Francisco: Search & Destroy,1978,"Contains ""Some Last Words with Hombre Invisible."" Signed by Burroughs, inscribed ""William Burroughs for Burt Bretton."" Some yellowing.",,Search%20&%20Destroy%2010.resources/search--destroy-10_522291186_o.jpg
"D44, D68, D87, D145","Burroughs I (Junkie, Auf der Suche nach Yage, Naked Lunch, Nova Express)",Frankfurt: Zweitausendeins,1978,"First. Contains German translations of Junky, the Yage Letters, Naked Lunch and Nova Express. Inscribed by the translator Carl Wiessner: ""Dear William &mdash; One of the first copies, fresh from the binder's, to you - Hope you like this book - As ever, Carl"". Therefore this is presumably Burroughs' own copy. In cardboard slipcase.",,"Burroughs%20I%20(Junkie,%20Auf%20der%20Suche%20nach%20Yage,%20Naked%20Lunch,%20Nova%20Express).resources/burroughs-i-junkie-auf-der-suche-nach-yage-naked-lunch-nova-express_522288362_o.jpg"
G46,The Three Minds,Geneva: Images Nuit Blanche,1978,"First. A triptych of photographs made by Francois Legarde, with a photo of Burroughs on the right panel, Brion Gysin on the left, and a superimposed image of the two in the center. With folded insert, signed by Burroughs, Gysin and Legarde, number 17 of 35. In orange cardboard mounting.",,The%20Three%20Minds.resources/the-three-minds_522299123_o.jpg
G62,The Nova Convention,New York: Entermedia,1978,"First. Inscribed by James Grauerholz 'For Brad Morrow ""You shoulda been there!"" James Grauerholz'.",,The%20Nova%20Convention.resources/the-nova-convention_522290612_o.jpg
H12a?,Letters to Allen Ginsberg 1953 - 1957,Geneva: Claude Givaudan/Am Here Books,1978,"First. Signed by Burroughs and Allen Ginsberg, number 18 of 100 of a bilingual French-English version. In clear acetate dust jacket with some damage to the upper rear edge.",,Letters%20to%20Allen%20Ginsberg%201953%20-%201957_2.resources/letters-to-allen-ginsberg-1953---1957_522289252_o.jpg
I5,"William S. Burroughs: A Bibliography, 1953-73","Charlottesville, VA: University Press of Virginia",1978,First. Without dust jacket as issued.,,"William%20S.%20Burroughs%3A%20A%20Bibliography,%201953-73.resources/william-s-burroughs-a-bibliography-1953-73_522288322_o.jpg"
I5,"William S. Burroughs: A Bibliography, 1953-73","Charlottesville, VA: University Press of Virginia",1978,First. Signed by Burroughs. Without dust jacket as issued.,,"William%20S.%20Burroughs%3A%20A%20Bibliography,%201953-73_1.resources/william-s-burroughs-a-bibliography-1953-73_522289362_o.jpg"
,Submission,New York: Scat Publications,1979,"First. Signed by Burroughs and De Sana, dated ""1985"" by De Sana . Wrappers scuffed and worn at edges.",,Submission.resources/submission_522298121_o.jpg
A40a,Ah Pook Is Here,London: John Calder,1979,First. Sunning to spine of dust jacket.,,Ah%20Pook%20Is%20Here.resources/ah-pook-is-here_522293632_o.jpg
A41a,Blade Runner (a movie),"Berkeley, CA: Blue Wind Press",1979,First.,,Blade%20Runner%20(a%20movie).resources/blade-runner-a-movie_522300375_o.jpg
A41a,Blade Runner (a movie),"Berkeley, CA: Blue Wind Press",1979,"First. Signed by Burroughs, numbered 63 of 100.",,Blade%20Runner%20(a%20movie)_1.resources/blade-runner-a-movie_522295604_o.jpg
A42,Doctor Benway,"Santa Barbara, CA: Bradford Morrow",1979,"First. Signed by Burroughs, number 135 of 150. Slight yellowing to spine and top of dust jacket.",,Doctor%20Benway.resources/doctor-benway_522300769_o.jpg
A43,Roosevelt After Inauguration,San Francisco: City Lights Books,1979,"First edition thus in wrappers. Reprint in wrappers, with ""Sects and Death"", ""The Whole Tamale"", and ""When Did I Stop Wanting To Be President?""",,Roosevelt%20After%20Inauguration_1.resources/roosevelt-after-inauguration_522288580_o.jpg
A44,Scrapbook 3,Geneva: Editions Claude Givaudan,1979,"First. Signed by Burroughs, number 27 of 30. Plate on inside back cover reads: ""This first edition, printed in Xerox copies by Claudia Katayanagi and Patrick R. Firbo, Great White Way Kinetics, New-York, in January 1979, has been printed at 30 numbered copies."" and ""Copyright Editions Claude Givaudan 3, Rue de Soleil Levant, Geneva"".",,Scrapbook%203.resources/scrapbook-3_522298003_o.jpg
A45,Wouldn't You Polish Pine Floors...,"St Paul, MN: Bookslinger",1979,"First. Signed by Burroughs, lettered B of 26. Broadside, 10x13"", in ""16 Broadsides"" from Walker Art Center Reading Series 1979-1980, Minneapolis, Minnesota. All 16 in complete set. In clamshell box.",,Wouldn't%20You%20Polish%20Pine%20Floors....resources/wouldnt-you-polish-pine-floors_522300305_o.jpg
,The Evening Sun Turned Crimson,"Cherry Valley, NY: Cherry Valley Editions",1980,"First, trade edition. Signed by Herbert Huncke.",,The%20Evening%20Sun%20Turned%20Crimson.resources/the-evening-sun-turned-crimson_522301619_o.jpg
A29b,Port of Saints,"Berkeley, CA: Blue Wind Press",1980,First American.,,Port%20of%20Saints_1.resources/port-of-saints_522294822_o.jpg
A31c,The Book of Breething,"Berkeley, CA: Blue Wind Press",1980,"Second American, trade edition.",,The%20Book%20of%20Breething_2.resources/the-book-of-breething_528564490_o.jpg
A46a,"Three Novels (The Soft Machine, Nova Express, The Wild Boys)",New York: Grove Press. Inc.,1980,First edition in wrappers. The Evergreen imprint version of this collection.,,"Three%20Novels%20(The%20Soft%20Machine,%20Nova%20Express,%20The%20Wild%20Boys).resources/three-novels-the-soft-machine-nova-express-the-wild-boys_1681026351_o.jpg"
"D98, D137","Burroughs II (Die wilden Boys, Port of Saints)",Frankfurt: Zweitausendeins,1980,"First. Per James Musser: ""The first German edition of The Wild Boys (and presumably first German Port of Saints).  Tipped-in frontis illustration by S. Clay Wilson whose full-page plates appear throughout the book.  BURROUGHS' PERSONAL COPY SPECIALLY BOUND for him by the publisher in DIAMONDBACK RATTLESNAKE SKIN with Burroughs' initials stamped to the spine. Signed on the title page by Burroughs and also by S. Clay Wilson who dated his signature 1996.  (Wilson's person copy was bound in Niger goat and snakeskin--so depending on how you look at it each copy is unique---or you can say there were two specially bound author copies bound by the publisher.)  Fine in slightly used slightly soiled folding chemise covered in the same silk they used for the endpapers.""",,"Burroughs%20II%20(Die%20wilden%20Boys,%20Port%20of%20Saints).resources/burroughs-ii-die-wilden-boys-port-of-saints_873238163_o.jpg"
A47a,Cities of the Red Night,"New York: Holt, Rinehart and Winston",1981,First. Signed by Burroughs.,,Cities%20of%20the%20Red%20Night.resources/cities-of-the-red-night_522301511_o.jpg
A48a,Early Routines,"Santa Barbara, CA: Cadmus Editions",1981,"First. Signed by Burroughs and David Hockney, who did Burroughs' portrait on front cover. Lettered Q of 26, in rice paper dust jacket.",,Early%20Routines_1.resources/early-routines_522301539_o.jpg
A48a,Early Routines,"Santa Barbara, CA: Cadmus Editions",1981,"First. Signed by Burroughs, numbered 2 of 125, in rice paper dust jacket.",,Early%20Routines.resources/early-routines_522294424_o.jpg
A49,Essais - Tome I,Paris: Christian Bourgois Éditeur,1981,First. Volume 1 of 2.,,Essais%20-%20Tome%20I.resources/essais---tome-i_10499284054_o.jpg
A50,Streets of Chance,New York: The Red Ozier Press,1981,"First. Signed by Burroughs and illustrator Howard Buchwald, number 121 of 160. Beautifully bound, without dust jacket as issued.",,Streets%20of%20Chance.resources/streets-of-chance_522294200_o.jpg
E14,Am Here Books Catalogue 5,"Santa Barbara, CA: Am Here Books",1981,"Lists 37 Burroughs items. Contains 7"" vinyl E.P. record of Burroughs reading ""The Last Words of Hassan-I-Sabbah"".",,Am%20Here%20Books%20Catalogue%205.resources/am-here-books-catalogue-5_522290082_o.jpg
E36a,You're The Guy I Want To Share My Money With,,1981,"New York: Giorno Poetry Systems, 1981 (GPS 020-021).  First. Two 12"" vinyl records in gatefold jacket.",,You're%20The%20Guy%20I%20Want%20To%20Share%20My%20Money%20With.resources/Evernote%20Snapshot%2020160423%20094028.jpg
H6b,With WIlliam Burroughs,New York: Seaver Books,1981,First edition in wrappers.,,With%20WIlliam%20Burroughs.resources/with-william-burroughs_522297483_o.jpg
I1,Atticus Books Catalogue 8,"San Diego, CA: Atticus Books",1981,"First. Signed by Burroughs, numbered 39 of 50. Lists 360 Burroughs items.",,Atticus%20Books%20Catalogue%208.resources/atticus-books-catalogue-8_522293594_o.jpg
I22,Contemporary Literary Censorship: The Case History of Burroughs' Naked Lunch,"Metuchen, NJ : Scarecrow Press",1981,First. Critical study by Michael Barry Goodman. Signed by the author.,,Contemporary%20Literary%20Censorship%3A%20The%20Case%20History%20of%20Burroughs'%20Naked%20Lunch.resources/contemporary-literary-censorship-the-case-history-of-burroughs-naked-lunch_526717905_o.jpg
A24d,Electronic Revolution,Bonn: Expanded Media Editions,1982,"Third. Reprint in wrappers, with ""Feedback from Watergate to the Garden of Eden"".",,Electronic%20Revolution.resources/electronic-revolution_522294904_o.jpg
A47c,Cities of the Red Night,"New York: Holt, Rinehart and Winston",1982,First printing in pictorial wrappers. Wrappers faded and cracked on spine.,,Cities%20of%20the%20Red%20Night_1.resources/cities-of-the-red-night_522292116_o.jpg
A51,Mummies,Dusseldorf & New York: Edition Kaldeway,1982,"First. Contains 5 prints of etchings signed by the artist, Carl Apfelschnitt. Half-title reads: ""Edition: Volume 5"". Colophon reads: ""Printed in 70 copies and 5 copies on [sic] Japan. Bound by Christian Zwang, Hamburg. Typography Gunnar A. Kaldewey. First Edition. Copyright William Borroughs [sic] 1982."" Some scuffing to front cover.",,Mummies.resources/mummies_522300229_o.jpg
A52a,Sinki's Sauna,New York: Pequod Press,1982,"First. Signed by Burroughs, numbered 102 of 500.",,Sinki's%20Sauna.resources/sinkis-sauna_522291990_o.jpg
A53,A William Burroughs Reader,London: Picador,1982,First. Rubbed on spine of wrappers.,,A%20William%20Burroughs%20Reader.resources/a-william-burroughs-reader_522345971_o.jpg
C523a,Re/Search 4/5,,1982,"San Francisco, CA: Re/Search Publications, 1982.",,Re_Search%204_5.resources/research-45_522290144_o.jpg
G22,The Final Academy: Statements of a Kind,London: The Final Academy,1982,First. Compiled by Roger Ely.,,The%20Final%20Academy%3A%20Statements%20of%20a%20Kind.resources/the-final-academy-statements-of-a-kind_522299523_o.jpg
H12c,Letters to Allen Ginsberg 1953 - 1957,New York: Full Court Press,1982,"First American in wrappers. Personal copy of Peter Orlovsky, signed by Orlovsky and inscribed by Burroughs ""For Peter all the best Letters Love William S. Burroughs June 7, 1982.""  Slight pencil mark on front cover.",,Letters%20to%20Allen%20Ginsberg%201953%20-%201957_1.resources/letters-to-allen-ginsberg-1953---1957_522295314_o.jpg
H12c,Letters to Allen Ginsberg 1953 - 1957,New York: Full Court Press,1982,"First American. Signed by Burroughs and Ginsberg, number 95 of 100.",,Letters%20to%20Allen%20Ginsberg%201953%20-%201957.resources/letters-to-allen-ginsberg-1953---1957_522302339_o.jpg
H12c,Letters to Allen Ginsburg 1953 - 1957,New York: Full Court Press,1982,First American. Slight pencil mark on lower left front of dust jacket. With xerox of publisher's press release laid in.,,Letters%20to%20Allen%20Ginsburg%201953%20-%201957.resources/letters-to-allen-ginsburg-1953---1957_522302363_o.jpg
,"""to talk for Joe the Dead"" - Typescript",n.p.,1983,"Per Brian Cassidy: ""[1pp. Typed MSS With Holograph Corrections and Notes From His Short Story 'to talk for Joe the Dead'].  1983.  4to. Very good or better; mild toning along edges where framed mat once was, tape remnant from same to top edge.  Both unobtrusive. Single manuscript page from Burroughs' short story ""to talk for Joe the Dead"" from his collection TORNADO ALLEY (Cherry Valley, 1989 - provided).  This portion corresponds to pp. 17-18 from that edition.Typed and dated April 16, 1983, the piece likely originated from Burroughs' journal as several lines at the beginning of the page seem to record a dream featuring Allen Ginsberg not mentioned in the published version.  Several hand corrections to typescript as well as two informative notes to upper and lower margins in Burroughs' hand. The first: ""He's going to kill his doctor (me)"".  The second explains the origins of the story: ""This is an extension of Jerry Wallace story about a criminal boy 7 feet tall.  I said, ""He'd better abreviate [sic?] himself"".  An uncommon look at Burroughs' working methods, even if only in part.""",,%22to%20talk%20for%20Joe%20the%20Dead%22%20-%20Typescript.resources/to-talk-for-joe-the-dead---typescript_1387291961_o.jpg
,Re/Search 8/9,San Francisco: Re/Search Publications,1984,"Contains essays ""Mythmaker of the 20th Century"" and ""Preface to The Atrocity Exhibition"" by Burroughs.",,Re_Search%208_9.resources/research-89_10499274784_o.jpg
,Bastard,Paris: Futuropolis,1984,"First. Personal copy of Gregory Corso of cartoon collaboration by Willem and Wilson. Signed by Burroughs, Wilson and Gregory Corso (using his Italian name ""Nuncio Corso""). Contains endorsement by Burroughs.",,Bastard.resources/bastard_522288384_o.jpg
A2j,Naked Lunch,"New York: Grove Press, Inc.",1984,"Signed limited 25th anniversary edition. Signed and numbered by Burroughs, 38 of 500. In slip case without dust jacket as issued.",,Naked%20Lunch_1.resources/naked-lunch_522298365_o.jpg
A49,Essais - Tome II,Paris: Christian Bourgois Éditeur,1984,First. Volume 2 of 2.,,Essais%20-%20Tome%20II.resources/essais---tome-ii_10499282764_o.jpg
A54,The Burroughs File,San Francisco: City Lights Books,1984,First in wrappers.,,The%20Burroughs%20File.resources/the-burroughs-file_522301343_o.jpg
A54,The Burroughs File,San Francisco: City Lights Books,1984,First.,,The%20Burroughs%20File_1.resources/the-burroughs-file_522302469_o.jpg
A55a,The Four Horsemen of the Apocalypse,Bonn: Expanded Media Editions,1984,First.,,The%20Four%20Horsemen%20of%20the%20Apocalypse.resources/the-four-horsemen-of-the-apocalypse_8502030736_o.jpg
A56a,The Place of Dead Roads,"New York: Holt, Rinehart and Winston",1984,"First. Signed and numbered by Burroughs, 176 of 300. In slip case without dust jacket as issued.",,The%20Place%20of%20Dead%20Roads_1.resources/the-place-of-dead-roads_522288268_o.jpg
A56a,The Place of Dead Roads,"New York: Holt, Rinehart and Winston",1984,First.,,The%20Place%20of%20Dead%20Roads.resources/the-place-of-dead-roads_522294584_o.jpg
A57a,Ruski,"Brooklyn, NY: Hand-Job Press",1984,"First. Signed by Burroughs, numbered 314 of 500.",,Ruski.resources/ruski_522299037_o.jpg
G92,New York Inside Out,Toronto: Skyline Press,1984,First.,,New%20York%20Inside%20Out.resources/new-york-inside-out_522338314_o.jpg
,Kerouac & Friends - A Beat Generation Album,New York : W. Morrow,1985,"First. Signed by the author and the following Beat Generation figures: Ted Joans, Herbert Hunke, Carl Solomon, Jack Micheline, Diane di Prima, Gregory Corso and Allen Ginsberg.",,Kerouac%20&%20Friends%20-%20A%20Beat%20Generation%20Album.resources/kerouac--friends---a-beat-generation-album_526717903_o.jpg
A58a,The Adding Machine,London: John Calder,1985,"First. Per the London bookseller Any Amount of Books: ""From the working library of novelist Angela Carter (1940 - 1992) with her posthumous bookplate. This small, attractive bookplate reads 'From the Library of Angela Carter' and was designed by Sebastian Carter of the Rampant Lions Press and was authorised by the executors of her estate, from whom we bought the major part of her considerable collection. Fine in fine dust wrapper.""",,The%20Adding%20Machine.resources/the-adding-machine_686752117_o.jpg
A59a,Queer,"New York: Viking Penguin, Inc.",1985,First.,,Queer.resources/queer_522289130_o.jpg
A58b,The Adding Machine,New York: Seaver Books,1986,First American.  Signed by Burroughs. Dust jacket worn on edges.,,The%20Adding%20Machine_1.resources/the-adding-machine_522295738_o.jpg
A58b,The Adding Machine,New York: Seaver Books,1986,First American. Dust jacket worn on edges.,,The%20Adding%20Machine_2.resources/the-adding-machine_522294244_o.jpg
A60a,The Cat Inside,New York: The Grenfell Press,1986,"First. Signed by Burroughs and Brion Gysin, who illustrated the book. Number 18 of 115, hand bound and hand printed on antique paper, with in rice paper wraps. With publisher's pre-publication advertisement.",,The%20Cat%20Inside_3.resources/the-cat-inside_522292676_o.jpg
A60a,The Cat Inside,New York: The Grenfell Press,1986,"First. Signed by Burroughs and Gysin, number XVI of 18 copies bound in vellum with Gysin drawing in gold on the front cover. In custom made box.",,The%20Cat%20Inside_1.resources/the-cat-inside_522292780_o.jpg
C558,Conjunctions 9,"New York: David R. Godine, Publishers, Inc.",1986,"Contains ""The Cat Inside."" Hard bound.",,Conjunctions%209.resources/conjunctions-9_522289180_o.jpg
H2,William Burroughs: An Essay,"Sudbury, MA: Water Row Press",1986,"First. Signed by Ansen and Burroughs, number 9 of 50.",,William%20Burroughs%3A%20An%20Essay.resources/william-burroughs-an-essay_522301795_o.jpg
A61,From the Western Lands,"Santa Fe, NM: Casa Sin Nombre",1987,"First. Signed by Burroughs, one of 750. Broadside.",,From%20the%20Western%20Lands.resources/from-the-western-lands_10499291144_o.jpg
A62a,The Western Lands,"New York: Viking Penguin, Inc.",1987,First.,,The%20Western%20Lands.resources/the-western-lands_522301481_o.jpg
A62a,The Western Lands,"New York: Viking Penguin, Inc.",1987,First. Signed by Burroughs.,,The%20Western%20Lands_1.resources/the-western-lands_522295712_o.jpg
G50b,Lee and the Boys in the Backroom,"Lawrence, KS: Lawrence Community Theatre",1987,"Poster announcing ""Lee and the Boys in the Backroom,"" ""a play ""based on the novel QUEER and the unpublished correspondence"" of WILLIAM S. BURROUGHS at Lawrence Community Theatre May 8 - 12,""  directed by Paul Lim, a professor of English at the University of Kansas and one of Burroughs' friends in Lawrence. Picture of Burroughs seated with ""boy"" and life-sized doll at a table with Mexican food.",,Lee%20and%20the%20Boys%20in%20the%20Backroom.resources/lee-and-the-boys-in-the-backroom_522291842_o.jpg
I37,Word Cultures: Radical Theory and Practice in William S. Burroughs’ Fiction.,"Urbana, IL : University of Illinois Press",1987,First. Critical study by Robin Lydenberg.,,Word%20Cultures.resources/word-cultures_522302261_o.jpg
A55a,The Four Horsemen of the Apocalypse,Bonn: Expanded Media Editions,1988,First. Second printing.,,The%20Four%20Horsemen%20of%20the%20Apocalypse_1.resources/the-four-horsemen-of-the-apocalypse_522301115_o.jpg
B3,William Burroughs: Painting,Amsterdam: Suzanne Biederberg Gallery,1988,"First. Brochure accompanying exhibitions in Amsterdam and London. With reproductions of 16 paintings and ""On Burroughs' Art"", an essay by James Grauerholz, including explication of each piece.",,William%20Burroughs%20Painting.resources/william-burroughs-painting_522294720_o.jpg
B4,William S. Burroughs,"Santa Fe, NM: Gallery Casa Sin Nombre",1988,First. Softbound.,,William%20S.%20Burroughs.resources/william-s-burroughs_16418351557_o.jpg
G22?,Meet The Beats Poster No. 2 - William S. Burroughs,"Sudbury, MA: Water Row Press",1988,Unsigned print of Robert Crumb caricature of Burroughs. In museum-quality matte and frame.,,Meet%20The%20Beats%20No.%202%20-%20William%20S.%20Burroughs.resources/meet-the-beats-no-2---william-s-burroughs_522345897_o.jpg
G35a,Apocalypse,New York: George Mulder Fine Arts,1988,First. Dust jacket yellowing around edges. Hardbound.,,Apocalypse_1.resources/apocalypse_873238657_o.jpg
G35a,Apocalypse,New York: George Mulder Fine Arts,1988,First issue in wrappers.,,Apocalypse.resources/apocalypse_522292028_o.jpg
H33a,Literary Outlaw,"New York: Henry Holt and Company, Inc.",1988,First.,,Literary%20Outlaw.resources/literary-outlaw_522302819_o.jpg
,Mindfield,New York: Thunder's Mouth Press,1989,"First. A book of poems by Gregory Corso, with forwards by Burroughs and Allen Ginsberg. Letter O of a limited edition of 26 signed by the author, as well as Burroughs and Ginsberg. As issued in red slip case.",,Mindfield.resources/minefield_526717899_o.jpg
,Literary Vision,New York: Jack Tilton Gallery,1989,"Perfect-bound brochure accompanying showing of painting by noted literary figures, including Burroughs and Gysin, at Jack Tilton Gallery, New York. With excerpts from Grauerholz's essay ""On Burroughs' Art"".",,Literary%20Vision.resources/literary-vision_522291766_o.jpg
,Portrait of Burroughs,,1989,"Portrait of Burroughs in casual shirt sitting, facing camera, with wry expression on face. Signed ""By Nelson Lyon, WSB '89"". Creased at lower right corner.",,Portrait%20of%20Burroughs.resources/portrait-of-burroughs_522292862_o.jpg
A63,Clause 27 Is Proposition 6 Is The Whole Tamale,,1989,"England, The Horse Press, 1989(?). First. Signed by Burroughs ""William S. Burroughs 1/23/1997"". Year of publication approximate per Shoaf and Schottlaender.",,Clause%2027%20Is%20Proposition%206%20Is%20The%20Whole%20Tamale.resources/clause-27-is-proposition-6-is-the-whole-tamale_522297685_o.jpg
A64a,Interzone,"New York: Viking Penguin, Inc.",1989,First.,,Interzone.resources/interzone_522293574_o.jpg
A65,Tornado Alley,"Cherry Valley, NY: Cherry Valley Editions",1989,First. In wrappers.,,Tornado%20Alley.resources/tornado-alley_1387290797_o.jpg
A65,Tornado Alley,"Cherry Valley, NY: Cherry Valley Editions",1989,"First. Signed by Burroughs, unnumbered, one of 100, without dust jacket as issued. Hardbound.",,Tornado%20Alley_1.resources/tornado-alley_522295076_o.jpg
B11,William S. Burroughs Paintings,Basel: Editions Carzaniga + Ueker AG,1989,"First. Brochure accompanying exhibition in Galerie Carzaniga + Ueker, Basel. With reproductions of 23 paintings and German and English versions of Grauerholz's essay.",,William%20S.%20Burroughs%20Paintings.resources/william-s-burroughs-paintings_522299453_o.jpg
C594,Conjunctions 13,New York: Collier Press,1989,"Contains ""Christ and The Museum of Extinct Species"". In wrappers.",,Conjunctions%2013.resources/conjunctions-13_522301455_o.jpg
C603,Stiletto 1,"Lawrence, KS: Howling Dog Press",1989,"Contains 4 selections from ""Interzone"". With insert reproduction of ""Twilight's Last Gleaming"" painting by Burroughs. In  plastic bag with metallic wrappers.",,Stiletto%201.resources/stiletto-1_522298287_o.jpg
F22,Towers Open Fire,"Montauk, NY: Mystic Fire Video",1989,"Films featuring Burroughs and his work by Antony Balch, with the involvement of Ian Sommerville and Brion Gysin. VHS.",,Towers%20Open%20Fire.resources/towers-open-fire_522301359_o.jpg
,The Atrocity Exhibition,San Francisco: Re/Search Publications,1990,Preface by Burroughs. First issue in wrappers.,,The%20Atrocity%20Exhibition.resources/the-atrocity-exhibition_10499253276_o.jpg
,Earl McGrath Gallery: List of Works,"West Hollywood, CA: Earl McGrath Gallery",1990,"Xerox of list of works by Burroughs on exhibition at the Earl McGrath Gallery in West Hollywood, CA, September-October 1990. With receipt for ""Paper Roses on the Prevaricated Heart.""",,Earl%20McGrath%20Gallery%3A%20List%20of%20Works.resources/earl-mcgrath-gallery-list-of-works_522290552_o.jpg
,Paper Roses on the Prefabricated Heart,,1990,"Signed by Burroughs. Fabriano paper, 20x16"". Number 8 in Earl McGrath Gallery list of works for Los Angeles exhibit in September-October 1990. In original matte and frame.",,Paper%20Roses%20on%20the%20Prefabricated%20Heart.resources/paper-roses-on-the-prefabricated-heart_522288124_o.jpg
E7,Dead City Radio,"New York: Island Records, Inc.",1990,"Single CD, 17 tracks of readings from various works, with various backing musicians. Produced by Nelson Lyon, who became a good friend of Burroughs and amassed a significant collection of Burroughs and Beats material, sold at auction in 1999, and some items of which have found their way into my collection.",,Dead%20City%20Radio.resources/dead-city-radio_522301871_o.jpg
,The Drug User Documents 1840 - 1960,New York: Blast Books,1991,First. Softbound. Contains foreword by Burroughs.,,The%20Drug%20User%20Documents%201840%20-%201960.resources/the-drug-user-documents-1840---1960_11389892214_o.jpg
,X-Ray Man,New York: Water Row/Lococo Mulder,1991,"Per Eric Shoaf, ""untitled three-color broadside (red, blue & purple on white background). 9.5 x 13 inches silkscreen print with small embossed lizard figure in lower right corner."" Signed by Burroughs. Limited edition printing, number 136 of 178. In original matte and frame.",,X-Ray%20Man.resources/x-ray-man_2115025117_o.jpg
