ID,Title,Year,Maynard and Miles,Schottlaender,Description,Image
100,Ruby Editions Portfolio 1,1975,,B17,"London and Toronto: Wallrich Books, 1975. Signed limited first, Schottlaender B17. Signed by Burroughs on his contribution ""Une Poeme Moderne"", number 18 of 100. Also contains broadsides by Cozette de Charmoy and Henri Chopin. Tape has lost adhesive on portfolio folder.",Ruby%20Editions%20Portfolio%201.resources/ruby-editions-portfolio-1_522299055_o.jpg
101,The Book of Breething,1975,,A30b,"Berkeley: Blue Wind Press, 1975. First American edition, Schottlaender A30b.",The%20Book%20of%20Breething.resources/the-book-of-breething_528564488_o.jpg
102,Sidetripping,1975,,G20a,"New York: Derbibooks, Inc., 1975. First, Schottlaender G20a.",Sidetripping.resources/sidetripping_522298071_o.jpg
103,The Retreat Diaries,1976,,A35,"New York: The City Moon, 1976. Signed limited first, Schottlaender A35. Signed and lettered by Burroughs, I (or possibly L?) of 26. As issued in brown paper envelope with cutaway section exposing red-on-white image of Burroughs, on front wrapper, with Burroughs' lettering for title on front wrapper.",The%20Retreat%20Diaries.resources/the-retreat-diaries_522298635_o.jpg
104,Cobble Stone Gardens,1976,,A33,"Cherry Valley, New York: Cherry Valley Editions, 1976. Signed limited first, Schottlaender A33. One of 50 hand bound copies signed by Burroughs, but mysteriously unnumbered in spite of publisher's statement to the contrary. Bound in boards with black cloth and front wrapper pasted on front, with binding somewhat loose.",Cobble%20Stone%20Gardens.resources/cobble-stone-gardens_522300067_o.jpg
105,Oeuvre Croisee,1976,,A34a,"Paris: Flammarion, 1976. First French edition, Schottlaender A34a. The true first edition of ""The Third Mind."" Signed by Brion Gysin, inscribed ""with best wishes Brion Gysin Paris 15 aug 81"".",Oeuvre%20Croisee.resources/oeuvre-croisee_522295470_o.jpg
106,The Retreat Diaries,1976,,A35,"New York: The City Moon, 1976. First, Schottlaender A35. Signed by Burroughs and Allen Ginsberg. Slightly soiled.",The%20Retreat%20Diaries_1.resources/the-retreat-diaries_522298679_o.jpg
107,Le Colloque de Tanger,1976,,G35,"Geneva: Editions Ottezec, 1976. Schottlaender G35. Ten black and white photos of Burroughs and Brion Gysin taken during the Colloque de Tanger symposium. Signed by Burroughs, Gysin, Francois LeGarde (the photographer) and Gerard-Georges Lemaire (the symposium's organizer.) Number 19 of 75. Tear and wear to lower left corner of printed folder.",Le%20Colloque%20de%20Tanger.resources/le-colloque-de-tanger_522299071_o.jpg
108,Cobble Stone Gardens,1976,,A33,"Cherry Valley, New York: Cherry Valley Editions, 1976. First in wrappers, Schottlaender A33. Slightly yellowed.",Cobble%20Stone%20Gardens_1.resources/cobble-stone-gardens_522300391_o.jpg
109,The Third Mind,1978,,A34b,"New York: The Viking Press, Inc., 1978. First American edition, Schottlaender A34b.",The%20Third%20Mind_1.resources/the-third-mind_522293532_o.jpg
110,Letters to Allen Ginsberg 1953 - 1957,1978,,H13b,"Geneva: Claude Givaudan/Am Here Books, 1978. Signed limited first, Schottlaender H13b. Signed by Burroughs and Allen Ginsberg, number 18 of 100 of a bilingual French-English version. In clear acetate dust jacket with some damage to the upper rear edge.",Letters%20to%20Allen%20Ginsberg%201953%20-%201957_2.resources/letters-to-allen-ginsberg-1953---1957_522289252_o.jpg
111,The Nova Convention,1978,,G47,"New York: Giorno Poetry Systems Institute, Inc., 1978. First, Schottlaender G47. Inscribed by James Grauerholz 'For Brad Morrow ""You shoulda been there!"" James Grauerholz'.",The%20Nova%20Convention.resources/the-nova-convention_522290612_o.jpg
112,"William S. Burroughs: A Bibliography, 1953-73",1978,,I27,"Charlottesville, VA: University Press of Virginia, 1978. First, Schottlaender I27. Without dust jacket as issued.","William%20S.%20Burroughs%3A%20A%20Bibliography,%201953-73.resources/william-s-burroughs-a-bibliography-1953-73_522288322_o.jpg"
113,Search & Destroy 10,1978,,C439,"San Francisco, CA: Search & Destroy, 1978. Schottlaender C439. Contains ""Some Last Words with Hombre Invisible."" Signed by Burroughs, inscribed ""William Burroughs for Burt Bretton."" Some yellowing.",Search%20&%20Destroy%2010.resources/search--destroy-10_522291186_o.jpg
114,Ali's Smile/Naked Scientology,1978,,A36a,"Bonn: Expanded Media Editions, 1978. First, Schottlaender A36a. Wear on corners and creases in spine.",Ali's%20Smile_Naked%20Scientology.resources/alis-smilenaked-scientology_522288460_o.jpg
115,"Burroughs I (Junkie, Auf der Suche nach Yage, Naked Lunch, Nova Express)",1978,,D42,"Frankfurt: Zweitausendeins, 1978. First, Schottlaender D42, D65, D72 and D128. Contains German translations of Junky, the Yage Letters, Naked Lunch and Nova Express. Inscribed by the translator Carl Wiessner: ""Dear William &mdash; One of the first copies, fresh from the binder's, to you - Hope you like this book - As ever, Carl"". Therefore this is presumably Burroughs' own copy. In cardboard slipcase.","Burroughs%20I%20(Junkie,%20Auf%20der%20Suche%20nach%20Yage,%20Naked%20Lunch,%20Nova%20Express).resources/burroughs-i-junkie-auf-der-suche-nach-yage-naked-lunch-nova-express_522288362_o.jpg"
116,"William S. Burroughs: A Bibliography, 1953-73",1978,,I27,"Charlottesville, VA: University Press of Virginia, 1978. First, Schottlaender I27. Signed by Burroughs. Without dust jacket as issued.","William%20S.%20Burroughs%3A%20A%20Bibliography,%201953-73_1.resources/william-s-burroughs-a-bibliography-1953-73_522289362_o.jpg"
117,When Naked Troubadours Shoot Snotty Baboons,1978,,A38,"Northridge, CA: Lord John Press, 1978. Signed limited first, Schottlaender A38. Signed and numbered by Burroughs, number 99 of 100. Broadside, 14x20"", designed and illustrated by James R. Silke, also signed by him.",When%20Naked%20Troubadours%20Shoot%20Snotty%20Baboons.resources/when-naked-troubadours-shoot-snotty-baboons_522300345_o.jpg
118,The Third Mind,1978,,A34b,"New York: The Viking Press, Inc., 1978. First American edition, Schottlaender A34b.",The%20Third%20Mind.resources/the-third-mind_522300655_o.jpg
119,The Yage Letters,1978,,A8b,"San Francisco: City Lights Books, 1978. Eighth printing, Schottlaender A8b.",The%20Yage%20Letters_1.resources/the-yage-letters_522296803_o.jpg
120,The Three Minds,1978,,G37,"Geneva: Images Nuit Blanche, 1978. Signed limited first, Schottlaender G37. A triptych of photographs made by Francois Legarde, with a photo of Burroughs on the right panel, Brion Gysin on the left, and a superimposed image of the two in the center. With folded insert, signed by Burroughs, Gysin and Legarde, number 17 of 35. In orange cardboard mounting.",The%20Three%20Minds.resources/the-three-minds_522299123_o.jpg
121,Blade Runner (a movie),1979,,A40a,"Berkeley: Blue Wind Press, 1979. First, Schottlaender A40a.",Blade%20Runner%20(a%20movie).resources/blade-runner-a-movie_522300375_o.jpg
122,Submission,1979,,,"New York: Scat Publications, 1979. First. Signed by Burroughs and De Sana, dated ""1985"" by De Sana . Wrappers scuffed and worn at edges.",Submission.resources/submission_522298121_o.jpg
123,Roosevelt After Inauguration,1979,,A42,"San Francisco: City Lights Books, 1979. First edition thus in wrappers, Schottlaender A42. Reprint in wrappers, with ""Sects and Death"", ""The Whole Tamale"", and ""When Did I Stop Wanting To Be President?""",Roosevelt%20After%20Inauguration_1.resources/roosevelt-after-inauguration_522288580_o.jpg
124,Blade Runner (a movie),1979,,A40,"Berkeley: Blue Wind Press, 1979. Signed limited first, Schottlaender A40. Signed by Burroughs, numbered 63 of 100.",Blade%20Runner%20(a%20movie)_1.resources/blade-runner-a-movie_522295604_o.jpg
125,Ah Pook Is Here,1979,,A39,"London: John Calder, 1979. First, Schottlaender A39. Sunning to spine of dust jacket.",Ah%20Pook%20Is%20Here.resources/ah-pook-is-here_522293632_o.jpg
126,Scrapbook 3,1979,,A43,"Geneva: Editions Claude Givaudan, 1979. Signed limited first, Schottlaender A43. Signed by Burroughs, number 27 of 30. Plate on inside back cover reads: ""This first edition, printed in Xerox copies by Claudia Katayanagi and Patrick R. Firbo, <i>Great White Way Kinetics</i>, New-York, in January 1979, has been printed at 30 numbered copies."" and ""Copyright Editions Claude Givaudan 3, Rue de Soleil Levant, Geneva"".",Scrapbook%203.resources/scrapbook-3_522298003_o.jpg
127,Doctor Benway,1979,,A41,"Santa Barbara, CA: Bradford Morrow, 1979. Signed limited first, Schottlaender A41. Signed by Burroughs, number 135 of 150. Slight yellowing to spine and top of dust jacket.",Doctor%20Benway.resources/doctor-benway_522300769_o.jpg
128,Wouldn't You Polish Pine Floors...,1979,,A44,"St Paul, MN: Bookslinger, 1979. Signed limited first, Schottlaender A44. Signed by Burroughs, lettered B of 26. Broadside, 10x13"", in ""16 Broadsides"" from Walker Art Center Reading Series 1979-1980, Minneapolis, Minnesota. All 16 in complete set. In clamshell box.",Wouldn't%20You%20Polish%20Pine%20Floors....resources/wouldnt-you-polish-pine-floors_522300305_o.jpg
129,The Book of Breething,1980,,A30c,"Berkeley: Blue Wind Press, 1980. Second American, trade edition, Schottlaender A30c.",The%20Book%20of%20Breething_2.resources/the-book-of-breething_528564490_o.jpg
130,"Burroughs II (Die wilden Boys, Port of Saints)",1980,,D83,"Frankfurt: Zweitausendeins, 1980. First, Schottlaender D83 and D120. Per James Musser: ""The first German edition of The Wild Boys (and presumably first German Port of Saints).  Tipped-in frontis illustration by S. Clay Wilson whose full-page plates appear throughout the book.  BURROUGHS' PERSONAL COPY SPECIALLY BOUND for him by the publisher in DIAMONDBACK RATTLESNAKE SKIN with Burroughs' initials stamped to the spine. Signed on the title page by Burroughs and also by S. Clay Wilson who dated his signature 1996.  (Wilson's person copy was bound in Niger goat and snakeskin--so depending on how you look at it each copy is unique---or you can say there were two specially bound author copies bound by the publisher.)  Fine in slightly used slightly soiled folding chemise covered in the same silk they used for the endpapers.""","Burroughs%20II%20(Die%20wilden%20Boys,%20Port%20of%20Saints).resources/burroughs-ii-die-wilden-boys-port-of-saints_873238163_o.jpg"
131,Port of Saints,1980,,A28b,"Berkeley: Blue Wind Press, 1980. First American edition, Schottlaender A28b.",Port%20of%20Saints_1.resources/port-of-saints_522294822_o.jpg
132,The Evening Sun Turned Crimson,1980,,,"Cherry Valley, NY: Cherry Valley Editions, 1980. First trade edition. Signed by Herbert Huncke. ",The%20Evening%20Sun%20Turned%20Crimson.resources/the-evening-sun-turned-crimson_522301619_o.jpg
133,Early Routines,1981,,A47a,"Santa Barbara, CA: Cadmus Editions, 1981. Signed limited first, Schottlaender A47a. Signed by Burroughs and David Hockney, who did Burroughs' portrait on front cover. Lettered Q of 26, in rice paper dust jacket.",Early%20Routines_1.resources/early-routines_522301539_o.jpg
134,Atticus Books Catalogue 8,1981,,I1,"San Diego, CA: Atticus Books, 1981. Signed limited edition, Schottlaender I1 and C470. Signed by Burroughs, numbered 39 of 50. Lists 360 Burroughs items.",Atticus%20Books%20Catalogue%208.resources/atticus-books-catalogue-8_522293594_o.jpg
135,Am Here Books Catalogue 5,1981,,E13,"Santa Barbara, CA: Am Here Books, 1981. Lists 37 Burroughs items. Contains 7"" vinyl E.P. record of Burroughs reading ""The Last Words of Hassan-I-Sabbah"", Schottlaender E13.",Am%20Here%20Books%20Catalogue%205.resources/am-here-books-catalogue-5_522290082_o.jpg
136,Streets of Chance,1981,,A49,"New York: The Red Ozier Press, 1981. Signed limited first, Schottlaender A49. Signed by Burroughs and illustrator Howard Buchwald, number 121 of 160. Beautifully bound, without dust jacket as issued.",Streets%20of%20Chance.resources/streets-of-chance_522294200_o.jpg
137,Essais - Tome I,1981,,A48,"Paris: Christian Bourgois Éditeur, 1981. First, Schottlaender A48. Volume 1 of 2. ",Essais%20-%20Tome%20I.resources/essais---tome-i_10499284054_o.jpg
138,Contemporary Literary Censorship: The Case History of Burroughs' Naked Lunch,1981,,I10,"Metuchen, N.J. : Scarecrow Press, 1981. First, Schottlaender I10. Critical study by Michael Barry Goodman. Signed by the author.",Contemporary%20Literary%20Censorship%3A%20The%20Case%20History%20of%20Burroughs'%20Naked%20Lunch.resources/contemporary-literary-censorship-the-case-history-of-burroughs-naked-lunch_526717905_o.jpg
139,Cities of the Red Night,1981,,A46a,"New York: Holt, Rinehart and Winston, 1981. First, Schottlaender A46a. Signed by Burroughs.",Cities%20of%20the%20Red%20Night.resources/cities-of-the-red-night_522301511_o.jpg
140,You're The Guy I Want To Share My Money With,1981,,E36a,"New York: Giorno Poetry Systems, 1981 (GPS 020-021).  First. Two 12"" vinyl records in gatefold jacket. Schottlaender E36a.",You're%20The%20Guy%20I%20Want%20To%20Share%20My%20Money%20With.resources/Evernote%20Snapshot%2020160423%20094028.jpg
141,With WIlliam Burroughs,1981,,H7a,"New York: Seaver Books, 1981. First edition in wrappers, Schottlaender H7a.",With%20WIlliam%20Burroughs.resources/with-william-burroughs_522297483_o.jpg
142,A William Burroughs Reader,1982,,A52,"London: Picador, 1982. First, Schottlaender A52. Rubbed on spine of wrappers.",A%20William%20Burroughs%20Reader.resources/a-william-burroughs-reader_522345971_o.jpg
143,Letters to Allen Ginsberg 1953 - 1957,1982,,H13c,"New York: Full Court Press, 1982. First American edition in wrappers, Schottlaender H13c. Personal copy of Peter Orlovsky, signed by Orlovsky and inscribed by Burroughs ""For Peter all the best Letters Love William S. Burroughs June 7, 1982.""  Slight pencil mark on front cover.",Letters%20to%20Allen%20Ginsberg%201953%20-%201957_1.resources/letters-to-allen-ginsberg-1953---1957_522295314_o.jpg
144,Letters to Allen Ginsberg 1953 - 1957,1982,,H13c,"New York: Full Court Press, 1982. Signed limited American first, Schottlaender H13c. Signed by Burroughs and Ginsberg, number 95 of 100.",Letters%20to%20Allen%20Ginsberg%201953%20-%201957.resources/letters-to-allen-ginsberg-1953---1957_522302339_o.jpg
145,Cities of the Red Night,1982,,A46c,"New York: Holt, Rinehart and Winston, 1982. First printing in pictorial wrappers, Schottlaender A46c. Wrappers faded and cracked on spine.",Cities%20of%20the%20Red%20Night_1.resources/cities-of-the-red-night_522292116_o.jpg
146,Electronic Revolution,1982,,A23d,"Bonn: Expanded Media Editions, 1982. Third edition, Schottlaender A23d. Reprint in wrappers, with ""Feedback from Watergate to the Garden of Eden"".",Electronic%20Revolution.resources/electronic-revolution_522294904_o.jpg
147,Re/Search 4/5,1982,,C491a,"San Francisco, CA: Re/Search Publications, 1982. Schottlaender C491a.",Re_Search%204_5.resources/research-45_522290144_o.jpg
148,Mummies,1982,,A50,"Dusseldorf & New York: Edition Kaldeway, 1982. First, Schottlaender A50. Contains 5 prints of etchings signed by the artist, Carl Apfelschnitt. Half-title reads: ""Edition: Volume 5"". Colophon reads: ""Printed in 70 copies and 5 copies on [sic] Japan. Bound by Christian Zwang, Hamburg. Typography Gunnar A. Kaldewey. First Edition. Copyright William Borroughs [sic] 1982."" Some scuffing to front cover.",Mummies.resources/mummies_522300229_o.jpg
149,The Final Academy: Statements of a Kind,1982,,G18,"London: The Final Academy, 1982. First, Schottlaender G18. Compiled by Roger Ely.",The%20Final%20Academy%3A%20Statements%20of%20a%20Kind.resources/the-final-academy-statements-of-a-kind_522299523_o.jpg
150,Letters to Allen Ginsburg 1953 - 1957,1982,,H13c,"New York: Full Court Press, 1982. First American edition, Schottlaender H13c. Slight pencil mark on lower left front of dust jacket. With xerox of publisher's press release laid in.",Letters%20to%20Allen%20Ginsburg%201953%20-%201957.resources/letters-to-allen-ginsburg-1953---1957_522302363_o.jpg
151,Sinki's Sauna,1982,,A51a,"New York: Pequod Press, 1982. Signed limited first, Schottlaender A51a. Signed by Burroughs, numbered 102 of 500.",Sinki's%20Sauna.resources/sinkis-sauna_522291990_o.jpg
152,The Place of Dead Roads,1984,,A55a,"New York: Holt, Rinehart and Winston, 1984. Signed limited first, Schottlaender A55a. Signed and number by Burroughs, 176 of 300. In slip case without dust jacket as issued.",The%20Place%20of%20Dead%20Roads_1.resources/the-place-of-dead-roads_522288268_o.jpg
153,The Burroughs File,1984,,A53,"San Francisco: City Lights Books, 1984. First in wrappers, Schottlaender A53.",The%20Burroughs%20File.resources/the-burroughs-file_522301343_o.jpg
154,Naked Lunch,1984,,A2j,"New York: Grove Press, Inc., 1984. Signed limited 25th anniversary edition, Schottlaender A2j. Signed and numbered by Burroughs, 38 of 500. In slip case without dust jacket as issued.",Naked%20Lunch_1.resources/naked-lunch_522298365_o.jpg
155,The Burroughs File,1984,,A53,"San Francisco: City Lights Books, 1984. First, Schottlaender A53.",The%20Burroughs%20File_1.resources/the-burroughs-file_522302469_o.jpg
156,Ruski,1984,,A56a,"Brooklyn, NY: Hand-Job Press, 1984. Signed limited first, Schottlaender A56a. Signed by Burroughs, numbered 314 of 500.",Ruski.resources/ruski_522299037_o.jpg
157,The Place of Dead Roads,1984,,A55a,"New York: Holt, Rinehart and Winston, 1984. First, Schottlaender A55a.",The%20Place%20of%20Dead%20Roads.resources/the-place-of-dead-roads_522294584_o.jpg
158,Re/Search 8/9,1984,,,"San Francisco, CA: Re/Search Publications, 1984. Contains essays ""Mythmaker of the 20th Century"" and ""Preface to The Atrocity Exhibition"" by Burroughs.",Re_Search%208_9.resources/research-89_10499274784_o.jpg
159,The Four Horsemen of the Apocalypse,1984,,A54a,"Bonn: Expanded Media Editions, 1984. First, Schottlaender A54a.",The%20Four%20Horsemen%20of%20the%20Apocalypse.resources/the-four-horsemen-of-the-apocalypse_8502030736_o.jpg
160,Bastard,1984,,,"Paris: Futuropolis, 1984. First. Personal copy of Gregory Corso of cartoon collaboration by Willem and Wilson. Signed by Burroughs, Wilson and Gregory Corso (using his Italian name ""Nuncio Corso""). Contains endorsement by Burroughs.",Bastard.resources/bastard_522288384_o.jpg
161,New York Inside Out,1984,,G86,"oronto: Skyline Press, 1984. First, Schottlaender G86.",New%20York%20Inside%20Out.resources/new-york-inside-out_522338314_o.jpg
162,Essais - Tome II,1984,,A48,"Paris: Christian Bourgois Éditeur, 1984. First, Schottlaender A48. Volume 2 of 2. ",Essais%20-%20Tome%20II.resources/essais---tome-ii_10499282764_o.jpg
163,The Adding Machine,1985,,A57a,"London: John Calder, 1985. First, Schottlaender A57a. Per the London bookseller Any Amount of Books: ""From the working library of novelist Angela Carter (1940 - 1992) with her posthumous bookplate. This small, attractive bookplate reads 'From the Library of Angela Carter' and was designed by Sebastian Carter of the Rampant Lions Press and was authorised by the executors of her estate, from whom we bought the major part of her considerable collection. Fine in fine dust wrapper.""",The%20Adding%20Machine.resources/the-adding-machine_686752117_o.jpg
164,Queer,1985,,A58a,"New York: Viking Penguin, Inc., 1985. First, Schottlaender A58a.",Queer.resources/queer_522289130_o.jpg
165,Kerouac & Friends - A Beat Generation Album,1985,,,"New York : W. Morrow, 1985. First. Signed by the author and the following Beat Generation figures: Ted Joans, Herbert Hunke, Carl Solomon, Jack Micheline, Diane di Prima, Gregory Corso and Allen Ginsberg.",Kerouac%20&%20Friends%20-%20A%20Beat%20Generation%20Album.resources/kerouac--friends---a-beat-generation-album_526717903_o.jpg
166,The Adding Machine,1986,,A57b,"New York: Seaver Books, 1986. First American edition, Schottlaender A57b.  Signed by Burroughs. Dust jacket worn on edges.",The%20Adding%20Machine_1.resources/the-adding-machine_522295738_o.jpg
167,The Cat Inside,1986,,A59a,"New York: The Grenfell Press, 1986. Signed limited first, Schottlaender A59a. Signed by Burroughs and Brion Gysin, who illustrated the book. Number 18 of 115, hand bound and hand printed on antique paper, with in rice paper wraps. With publisher's pre-publication advertisement.",The%20Cat%20Inside_3.resources/the-cat-inside_522292676_o.jpg
168,The Cat Inside,1986,,A59a,"New York: The Grenfell Press, 1986. Signed limited first, Schottlaender A59a. Signed by Burroughs and Gysin, number XVI of 18 copies bound in vellum with Gysin drawing in gold on the front cover. In custom made box.",The%20Cat%20Inside_1.resources/the-cat-inside_522292780_o.jpg
169,Conjunctions 9,1986,,C518,"New York: David R. Godine, Publishers, Inc., 1986. Schottlaender C518. Contains ""The Cat Inside."" Hard bound. ",Conjunctions%209.resources/conjunctions-9_522289180_o.jpg
170,The Adding Machine,1986,,A57b,"New York: Seaver Books, 1986. First American edition, Schottlaender A57b. Dust jacket worn on edges.",The%20Adding%20Machine_2.resources/the-adding-machine_522294244_o.jpg
171,William Burroughs: An Essay,1986,,H2,"Sudbury, MA: Water Row Press, 1986. Signed limited first, Schottlaender H2. Signed by Ansen and Burroughs, number 9 of 50.",William%20Burroughs%3A%20An%20Essay.resources/william-burroughs-an-essay_522301795_o.jpg
172,The Western Lands,1987,,A61a,"New York: Viking Penguin, Inc., 1987. First, Schottlaender A61a.",The%20Western%20Lands.resources/the-western-lands_522301481_o.jpg
173,From the Western Lands,1987,,A60,"Santa Fe, NM: Casa Sin Nombre, 1987. Signed limited first, Schottlaender A60. Signed by Burroughs, one of 750. Broadside.",From%20the%20Western%20Lands.resources/from-the-western-lands_10499291144_o.jpg
174,Word Cultures,1987,,I26,"Urbana, IL : University of Illinois Press, 1987. First, Schottlaender I26. Critical study by Robin Lydenberg.",Word%20Cultures.resources/word-cultures_522302261_o.jpg
175,The Western Lands,1987,,A61a,"New York: Viking Penguin, Inc., 1987. First, Schottlaender A61a. Signed by Burroughs.",The%20Western%20Lands_1.resources/the-western-lands_522295712_o.jpg
176,Lee and the Boys in the Backroom,1987,,G40,"Lawrence, KS: Lawrence Community Theatre, 1987. Schottlaender G40. Poster announcing ""Lee and the Boys in the Backroom,"" ""a play ""based on the novel QUEER and the unpublished correspondence"" of WILLIAM S. BURROUGHS at Lawrence Community Theatre May 8 - 12,""  directed by Paul Lim, a professor of English at the University of Kansas and one of Burroughs friends in Lawrence. Picture of Burroughs seated with ""boy"" and life-sized doll at a table with Mexican food.",Lee%20and%20the%20Boys%20in%20the%20Backroom.resources/lee-and-the-boys-in-the-backroom_522291842_o.jpg
177,The Four Horsemen of the Apocalypse,1988,,A54b,"Bonn: Expanded Media Editions, 1988. Second printing of first edition, Schottlaender A54b.",The%20Four%20Horsemen%20of%20the%20Apocalypse_1.resources/the-four-horsemen-of-the-apocalypse_522301115_o.jpg
178,Meet The Beats No. 2 - William S. Burroughs,1988,,G15,"Sudbury, MA: Water Row Press, 1988. Schottlaender G15. Unsigned print of Robert Crumb caricature of Burroughs. In museum-quality matte and frame. ",Meet%20The%20Beats%20No.%202%20-%20William%20S.%20Burroughs.resources/meet-the-beats-no-2---william-s-burroughs_522345897_o.jpg
179,William Burroughs Painting,1988,,B10a,"Amsterdam: Suzanne Biederberg Gallery, 1988. First, Schottlaender B10a. Brochure accompanying exhibitions in Amsterdam and London. With reproductions of 16 paintings and ""On Burroughs' Art"", an essay by James Grauerholz, including explication of each piece.",William%20Burroughs%20Painting.resources/william-burroughs-painting_522294720_o.jpg
180,Apocalypse,1988,,G28,"New York: George Mulder Fine Arts, 1988. First, Schottlaender G28. Dust jacket yellowing around edges.",Apocalypse_1.resources/apocalypse_873238657_o.jpg
181,William S. Burroughs,1988,,B12,"Santa Fe, NM: Gallery Casa Sin Nombre, 1988. First, Schottlaender B12. Softbound.",William%20S.%20Burroughs.resources/william-s-burroughs_16418351557_o.jpg
182,"Three Novels (The Soft Machine, Nova Express, The Wild Boys)",1988,,A45a,"New York, NY: Grove Press. Inc., 1988. First edition in wrappers of the Evergreen imprint version of this collection, Schottlaender A45a.","Three%20Novels%20(The%20Soft%20Machine,%20Nova%20Express,%20The%20Wild%20Boys).resources/three-novels-the-soft-machine-nova-express-the-wild-boys_1681026351_o.jpg"
183,Literary Outlaw,1988,,H28a,"New York: Henry Holt and Company, Inc., 1988. First, Schottlaender H28a.",Literary%20Outlaw.resources/literary-outlaw_522302819_o.jpg
184,Apocalypse,1988,,G28,"New York: George Mulder Fine Arts, 1988. First issue in wrappers, Schottlaender G28.",Apocalypse.resources/apocalypse_522292028_o.jpg
185,Tornado Alley,1989,,A64,"Cherry Valley, NY: Cherry Valley Editions, 1989. First edition in wrappers, Schottlaender A64.",Tornado%20Alley.resources/tornado-alley_1387290797_o.jpg
186,Tornado Alley,1989,,A64,"Cherry Valley, NY: Cherry Valley Editions, 1989. Signed limited first, Schottlaender A64. Signed by Burroughs, unnumbered, one of 100, without dust jacket as issued.",Tornado%20Alley_1.resources/tornado-alley_522295076_o.jpg
187,Mindfield,1989,,,"New York: Thunder's Mouth Press, 1989. Signed limited first. A book of poems by Gregory Corso, with forwards by Burroughs and Allen Ginsberg. Letter O of a limited edition of 26 signed by the author, as well as Burroughs and Ginsberg. As issued in red slip case.",Mindfield.resources/minefield_526717899_o.jpg
188,"""to talk for Joe the Dead"" - Typescript",1989,,,"n.p.: 1983. Per Brian Cassidy: ""[1pp. Typed MSS With Holograph Corrections and Notes From His Short Story 'to talk for Joe the Dead'].  1983.  4to. Very good or better; mild toning along edges where framed mat once was, tape remnant from same to top edge.  Both unobtrusive. Single manuscript page from Burroughs' short story ""to talk for Joe the Dead"" from his collection TORNADO ALLEY (Cherry Valley, 1989 - provided).  This portion corresponds to pp. 17-18 from that edition.Typed and dated April 16, 1983, the piece likely originated from Burroughs' journal as several lines at the beginning of the page seem to record a dream featuring Allen Ginsberg not mentioned in the published version.  Several hand corrections to typescript as well as two informative notes to upper and lower margins in Burroughs' hand. The first: ""He's going to kill his doctor (me)"".  The second explains the origins of the story: ""This is an extension of Jerry Wallace story about a criminal boy 7 feet tall.  I said, ""He'd better abreviate [sic?] himself"".  An uncommon look at Burroughs' working methods, even if only in part.""",%22to%20talk%20for%20Joe%20the%20Dead%22%20-%20Typescript.resources/to-talk-for-joe-the-dead---typescript_1387291961_o.jpg
189,Stiletto 1,1989,,C555,"Lawrence: Howling Dog Press, 1989. Schottlaender C555. Contains 4 selections from ""Interzone"". With insert reproduction of ""Twilight's Last Gleaming"" painting by Burroughs. In  plastic bag with metallic wrappers. ",Stiletto%201.resources/stiletto-1_522298287_o.jpg
190,Literary Vision,1989,,,"New York: Jack Tilton Gallery, 1989. Perfect-bound brochure accompanying showing of painting by noted literary figures, including Burroughs and Gysin, at Jack Tilton Gallery, New York. With excerpts from Grauerholz's essay ""On Burroughs' Art"".",Literary%20Vision.resources/literary-vision_522291766_o.jpg
191,Clause 27 Is Proposition 6 Is The Whole Tamale,1989,,A62,"England, The Horse Press, 1989(?). First, Schottlaender A62. Signed by Burroughs ""William S. Burroughs 1/23/1997"". Year of publication approximate per Shoaf and Schottlaender.",Clause%2027%20Is%20Proposition%206%20Is%20The%20Whole%20Tamale.resources/clause-27-is-proposition-6-is-the-whole-tamale_522297685_o.jpg
192,Towers Open Fire,1989,,F14,"Montauk, N.Y.: Mystic Fire Video, 1989. Schottlaender F14. Films featuring Burroughs and his work by Antony Balch, with the involvement of Ian Sommerville and Brion Gysin. VHS.",Towers%20Open%20Fire.resources/towers-open-fire_522301359_o.jpg
193,William S. Burroughs Paintings,1989,,B4a,"Basel: Editions Carzaniga + Ueker AG, 1989. First, Schottlaender B4a. Brochure accompanying exhibition in Galerie Carzaniga + Ueker, Basel. With reproductions of 23 paintings and German and English versions of Grauerholz's essay.",William%20S.%20Burroughs%20Paintings.resources/william-s-burroughs-paintings_522299453_o.jpg
194,Conjunctions 13,1989,,C548,"New York: Collier Press, 1989. Schottlaender C548. Contains ""Christ and The Museum of Extinct Species"". In wrappers. ",Conjunctions%2013.resources/conjunctions-13_522301455_o.jpg
195,The Atrocity Exhibition,1990,,,"San Francisco, CA: Re/Search Publications, 1990. Preface by Burroughs. First issue in wrappers.",The%20Atrocity%20Exhibition.resources/the-atrocity-exhibition_10499253276_o.jpg
196,Dead City Radio,1990,,E7,"New York: Island Records, Inc., 1990. Schottlaender E7. Single CD, 17 tracks of readings from various works, with various backing musicians. Produced by Nelson Lyon, who became a good friend of Burroughs and amassed a significant collection of Burroughs and Beats material, sold at auction in 1999, and some items of which have found their way into my collection. ",Dead%20City%20Radio.resources/dead-city-radio_522301871_o.jpg
